OrderID,OrderDate,CustomerID,CustomerName,Segment,Region,State,Category,SubCategory,Product,UnitPrice,Quantity,Discount,Sales,Cost,Profit,PaymentMethod,ShipMode,ProfitMargin
ORD-00038,2025-10-06,C0070,Mia Patel,Home Office,Central,Illinois,Furniture,Tables,Coffee Table,149,4,0.0,596.0,309.92,286.08,Debit Card,Standard Class,48.0
ORD-00039,2024-08-15,C0176,Ananya Smith,Corporate,South,Georgia,Office Supplies,Writing,Pen Pack,12,3,0.15,30.6,10.8,19.8,UPI,First Class,64.71
ORD-00040,2024-08-31,C0099,Noah Patel,Home Office,West,Washington,Furniture,Tables,Coffee Table,149,4,0.0,596.0,309.92,286.08,UPI,Same Day,48.0
ORD-00041,2025-09-04,C0011,Kavya Sharma,Corporate,Central,Texas,Furniture,Tables,Study Desk,279,2,0.15,474.3,334.8,139.5,Credit Card,Second Class,29.41
ORD-00042,2025-04-15,C0113,Ananya Davis,Corporate,Central,Ohio,Technology,Accessories,Laptop Sleeve,35,1,0.2,28.0,13.3,14.7,UPI,First Class,52.5
ORD-00043,2025-12-18,C0066,Lucas Wilson,Corporate,Central,Texas,Furniture,Tables,Coffee Table,149,3,0.2,357.6,232.44,125.16,UPI,Same Day,35.0
ORD-00044,2024-05-09,C0016,Liam Davis,Home Office,South,North Carolina,Furniture,Chairs,Ergonomic Chair,399,5,0.05,1895.25,1256.85,638.4,Bank Transfer,Second Class,33.68
ORD-00045,2025-01-18,C0139,Isha Wilson,Home Office,Central,Texas,Furniture,Tables,Study Desk,279,4,0.15,948.6,669.6,279.0,Bank Transfer,First Class,29.41
ORD-00046,2025-05-14,C0014,Isha Smith,Consumer,Central,Ohio,Technology,Computers,Monitor,249,2,0.0,498.0,288.84,209.16,UPI,Same Day,42.0
ORD-00047,2025-04-09,C0175,Noah Garcia,Consumer,West,Washington,Furniture,Chairs,Office Chair,199,4,0.0,796.0,453.72,342.28,Credit Card,First Class,43.0
ORD-00048,2024-09-15,C0068,Kavya Davis,Home Office,Central,Ohio,Office Supplies,Storage,Storage Box,32,10,0.2,256.0,137.6,118.4,Debit Card,Second Class,46.25
ORD-00049,2025-10-21,C0140,Aarav Sharma,Consumer,East,New York,Office Supplies,Writing,Pen Pack,12,12,0.0,144.0,43.2,100.8,UPI,Same Day,70.0
ORD-00050,2025-07-08,C0020,Aarav Davis,Consumer,Central,Texas,Office Supplies,Writing,Pen Pack,12,7,0.1,75.6,25.2,50.4,Bank Transfer,Standard Class,66.67
ORD-00051,2024-07-09,C0072,Ananya Smith,Corporate,South,Georgia,Technology,Accessories,USB-C Hub,59,1,0.15,50.15,26.55,23.6,Credit Card,Same Day,47.06
ORD-00052,2024-04-22,C0053,Kavya Sharma,Home Office,West,Oregon,Office Supplies,Storage,Storage Box,32,3,0.1,86.4,41.28,45.12,Bank Transfer,Same Day,52.22
ORD-00053,2025-09-05,C0150,Noah Brown,Home Office,Central,Illinois,Technology,Accessories,USB-C Hub,59,5,0.1,265.5,132.75,132.75,Credit Card,Second Class,50.0
ORD-00054,2025-08-24,C0118,Ananya Wilson,Consumer,South,North Carolina,Furniture,Chairs,Office Chair,199,1,0.0,199.0,113.43,85.57,UPI,First Class,43.0
ORD-00055,2024-07-29,C0138,Isha Brown,Home Office,West,Oregon,Furniture,Chairs,Ergonomic Chair,399,1,0.1,359.1,251.37,107.73,Bank Transfer,Standard Class,30.0
ORD-00056,2024-04-10,C0114,Isha Wilson,Consumer,South,North Carolina,Technology,Computers,Monitor,249,3,0.0,747.0,433.26,313.74,Debit Card,First Class,42.0
ORD-00057,2025-02-25,C0049,Kavya Davis,Home Office,West,Washington,Office Supplies,Storage,Filing Cabinet,189,9,0.0,1701.0,1037.61,663.39,Bank Transfer,Second Class,39.0
ORD-00058,2025-08-16,C0061,Ethan Brown,Consumer,South,Georgia,Office Supplies,Paper,Copy Paper,15,10,0.0,150.0,52.5,97.5,UPI,Standard Class,65.0
ORD-00059,2025-09-19,C0079,Noah Sharma,Consumer,East,New York,Technology,Accessories,Laptop Sleeve,35,3,0.0,105.0,39.9,65.1,Bank Transfer,Standard Class,62.0
ORD-00060,2025-01-05,C0049,Kavya Davis,Home Office,East,New York,Furniture,Chairs,Office Chair,199,4,0.1,716.4,453.72,262.68,Bank Transfer,First Class,36.67
ORD-00061,2024-01-04,C0122,Sara Brown,Home Office,Central,Ohio,Furniture,Tables,Coffee Table,149,4,0.0,596.0,309.92,286.08,Bank Transfer,Second Class,48.0
ORD-00062,2025-02-08,C0042,Lucas Wilson,Corporate,West,Oregon,Technology,Computers,Laptop,1099,5,0.2,4396.0,3626.7,769.3,Credit Card,Same Day,17.5
ORD-00063,2024-08-01,C0036,Sara Garcia,Home Office,South,Florida,Office Supplies,Storage,Filing Cabinet,189,5,0.1,850.5,576.45,274.05,Bank Transfer,Standard Class,32.22
ORD-00064,2024-07-08,C0120,Sara Brown,Home Office,East,New York,Technology,Computers,Laptop,1099,1,0.15,934.15,725.34,208.81,Credit Card,First Class,22.35
ORD-00065,2025-04-23,C0162,Aarav Johnson,Home Office,South,Georgia,Furniture,Chairs,Office Chair,199,2,0.0,398.0,226.86,171.14,Debit Card,Standard Class,43.0
ORD-00066,2025-10-08,C0030,Sara Wilson,Corporate,East,New York,Furniture,Tables,Study Desk,279,2,0.0,558.0,334.8,223.2,Credit Card,Second Class,40.0
ORD-00067,2024-08-05,C0110,Mia Wilson,Home Office,South,North Carolina,Technology,Computers,Monitor,249,1,0.1,224.1,144.42,79.68,Debit Card,Same Day,35.56
ORD-00068,2024-08-07,C0175,Noah Garcia,Consumer,Central,Texas,Office Supplies,Paper,Notebook Set,22,8,0.1,158.4,70.4,88.0,Credit Card,First Class,55.56
ORD-00069,2025-01-07,C0145,Aarav Khan,Home Office,South,Florida,Office Supplies,Writing,Pen Pack,12,8,0.0,96.0,28.8,67.2,Debit Card,Same Day,70.0
ORD-00070,2024-08-15,C0149,Ananya Miller,Consumer,East,New York,Furniture,Tables,Coffee Table,149,5,0.2,596.0,387.4,208.6,Debit Card,Standard Class,35.0
ORD-00071,2025-05-21,C0149,Ananya Miller,Consumer,Central,Illinois,Technology,Computers,Monitor,249,4,0.15,846.6,577.68,268.92,Debit Card,Same Day,31.76
ORD-00072,2025-12-09,C0172,Lucas Patel,Home Office,South,Georgia,Office Supplies,Writing,Desk Organizer,28,3,0.15,71.4,34.44,36.96,Debit Card,Second Class,51.76
ORD-00073,2024-02-12,C0112,Ethan Patel,Corporate,Central,Texas,Technology,Computers,Monitor,249,1,0.1,224.1,144.42,79.68,Bank Transfer,Second Class,35.56
ORD-00074,2025-07-19,C0018,Ethan Wilson,Consumer,West,California,Technology,Phones,Smartphone,699,2,0.2,1118.4,754.92,363.48,Debit Card,First Class,32.5
ORD-00075,2025-03-31,C0029,Ananya Johnson,Consumer,Central,Ohio,Technology,Accessories,USB-C Hub,59,2,0.1,106.2,53.1,53.1,UPI,Second Class,50.0
ORD-00076,2025-05-23,C0061,Ethan Brown,Consumer,West,Washington,Office Supplies,Storage,Storage Box,32,4,0.15,108.8,55.04,53.76,UPI,Second Class,49.41
ORD-00077,2024-05-28,C0156,Ethan Davis,Home Office,South,Florida,Office Supplies,Paper,Copy Paper,15,10,0.1,135.0,52.5,82.5,Debit Card,First Class,61.11
ORD-00078,2024-09-22,C0061,Ethan Brown,Consumer,East,Massachusetts,Technology,Phones,Smartphone,699,5,0.15,2970.75,1887.3,1083.45,UPI,First Class,36.47
ORD-00079,2025-02-26,C0017,Kavya Johnson,Consumer,West,Washington,Furniture,Chairs,Ergonomic Chair,399,3,0.2,957.6,754.11,203.49,Debit Card,Same Day,21.25
ORD-00080,2025-06-17,C0074,Mia Sharma,Corporate,East,Massachusetts,Technology,Accessories,Laptop Sleeve,35,2,0.2,56.0,26.6,29.4,Credit Card,Same Day,52.5
ORD-00081,2025-11-16,C0020,Aarav Davis,Consumer,West,Oregon,Technology,Phones,Smartphone,699,2,0.15,1188.3,754.92,433.38,Bank Transfer,Standard Class,36.47
ORD-00082,2024-02-07,C0089,Kavya Garcia,Corporate,Central,Texas,Office Supplies,Storage,Storage Box,32,12,0.0,384.0,165.12,218.88,UPI,Standard Class,57.0
ORD-00083,2025-05-28,C0116,Ananya Garcia,Home Office,East,Pennsylvania,Furniture,Tables,Study Desk,279,2,0.0,558.0,334.8,223.2,Debit Card,Same Day,40.0
ORD-00084,2024-04-15,C0175,Noah Garcia,Consumer,West,California,Technology,Computers,Laptop,1099,3,0.05,3132.15,2176.02,956.13,UPI,Same Day,30.53
ORD-00085,2025-11-02,C0017,Kavya Johnson,Consumer,West,California,Furniture,Chairs,Ergonomic Chair,399,3,0.0,1197.0,754.11,442.89,Bank Transfer,Same Day,37.0
ORD-00086,2025-07-18,C0069,Noah Patel,Corporate,East,Massachusetts,Furniture,Chairs,Office Chair,199,4,0.2,636.8,453.72,183.08,Debit Card,Standard Class,28.75
ORD-00087,2024-04-25,C0018,Ethan Wilson,Consumer,West,Oregon,Technology,Accessories,Laptop Sleeve,35,4,0.05,133.0,53.2,79.8,Credit Card,Same Day,60.0
ORD-00088,2025-02-25,C0168,Aarav Patel,Consumer,East,New York,Technology,Computers,Laptop,1099,3,0.0,3297.0,2176.02,1120.98,UPI,Standard Class,34.0
ORD-00089,2024-08-28,C0178,Isha Khan,Corporate,East,New York,Office Supplies,Writing,Desk Organizer,28,10,0.0,280.0,114.8,165.2,UPI,First Class,59.0
ORD-00090,2024-11-12,C0087,Sara Miller,Consumer,East,Pennsylvania,Furniture,Chairs,Office Chair,199,2,0.15,338.3,226.86,111.44,Credit Card,First Class,32.94
ORD-00091,2025-03-06,C0132,Lucas Smith,Consumer,South,North Carolina,Technology,Phones,Wireless Headset,129,4,0.1,464.4,252.84,211.56,Bank Transfer,Second Class,45.56
ORD-00092,2024-10-18,C0027,Mia Brown,Home Office,East,Massachusetts,Furniture,Chairs,Office Chair,199,4,0.0,796.0,453.72,342.28,UPI,Second Class,43.0
ORD-00093,2025-05-03,C0141,Lucas Johnson,Consumer,South,North Carolina,Office Supplies,Writing,Desk Organizer,28,3,0.15,71.4,34.44,36.96,Credit Card,Same Day,51.76
ORD-00094,2025-05-06,C0169,Aarav Patel,Home Office,South,Georgia,Furniture,Tables,Study Desk,279,5,0.0,1395.0,837.0,558.0,Bank Transfer,Same Day,40.0
ORD-00095,2025-10-23,C0161,Kavya Brown,Home Office,East,Massachusetts,Furniture,Chairs,Office Chair,199,5,0.0,995.0,567.15,427.85,Debit Card,Same Day,43.0
ORD-00096,2024-07-22,C0060,Aarav Davis,Corporate,West,Oregon,Technology,Phones,Smartphone,699,3,0.15,1782.45,1132.38,650.07,Bank Transfer,First Class,36.47
ORD-00097,2024-09-28,C0015,Noah Wilson,Corporate,Central,Ohio,Furniture,Chairs,Office Chair,199,5,0.0,995.0,567.15,427.85,Bank Transfer,Same Day,43.0
ORD-00098,2024-12-03,C0149,Ananya Miller,Consumer,Central,Ohio,Technology,Accessories,Laptop Sleeve,35,5,0.0,175.0,66.5,108.5,Debit Card,Same Day,62.0
ORD-00099,2025-11-22,C0100,Ethan Sharma,Home Office,South,Florida,Technology,Phones,Wireless Headset,129,1,0.05,122.55,63.21,59.34,UPI,Same Day,48.42
ORD-00100,2024-08-30,C0019,Aarav Patel,Home Office,Central,Ohio,Technology,Computers,Monitor,249,2,0.05,473.1,288.84,184.26,UPI,Same Day,38.95
ORD-00101,2024-10-09,C0151,Isha Patel,Corporate,Central,Ohio,Office Supplies,Paper,Copy Paper,15,10,0.1,135.0,52.5,82.5,Credit Card,First Class,61.11
ORD-00102,2025-09-18,C0140,Aarav Sharma,Consumer,East,Pennsylvania,Furniture,Chairs,Office Chair,199,3,0.0,597.0,340.29,256.71,Bank Transfer,First Class,43.0
ORD-00103,2025-07-08,C0065,Kavya Sharma,Consumer,East,New York,Office Supplies,Writing,Pen Pack,12,9,0.15,91.8,32.4,59.4,Debit Card,Second Class,64.71
ORD-00104,2024-08-20,C0096,Noah Khan,Corporate,West,Washington,Office Supplies,Writing,Pen Pack,12,10,0.0,120.0,36.0,84.0,Debit Card,First Class,70.0
ORD-00105,2024-03-12,C0136,Ethan Miller,Consumer,West,Washington,Furniture,Chairs,Ergonomic Chair,399,2,0.0,798.0,502.74,295.26,Bank Transfer,Standard Class,37.0
ORD-00106,2024-12-30,C0085,Kavya Smith,Consumer,West,Washington,Technology,Accessories,Laptop Sleeve,35,1,0.1,31.5,13.3,18.2,Credit Card,First Class,57.78
ORD-00107,2025-01-21,C0106,Sara Smith,Consumer,East,Pennsylvania,Furniture,Tables,Coffee Table,149,2,0.0,298.0,154.96,143.04,Credit Card,First Class,48.0
ORD-00108,2025-02-25,C0122,Sara Brown,Home Office,West,Washington,Technology,Computers,Monitor,249,1,0.15,211.65,144.42,67.23,Bank Transfer,Same Day,31.76
ORD-00109,2024-07-04,C0071,Lucas Sharma,Corporate,West,Washington,Furniture,Tables,Study Desk,279,4,0.2,892.8,669.6,223.2,Debit Card,Standard Class,25.0
ORD-00110,2025-05-08,C0129,Kavya Smith,Home Office,South,North Carolina,Furniture,Tables,Study Desk,279,4,0.0,1116.0,669.6,446.4,Credit Card,Second Class,40.0
ORD-00111,2024-10-18,C0121,Mia Johnson,Corporate,South,Florida,Office Supplies,Storage,Storage Box,32,6,0.2,153.6,82.56,71.04,Bank Transfer,First Class,46.25
ORD-00112,2025-05-13,C0016,Liam Davis,Home Office,East,New York,Office Supplies,Paper,Copy Paper,15,7,0.2,84.0,36.75,47.25,Credit Card,Same Day,56.25
ORD-00113,2025-07-18,C0052,Mia Sharma,Consumer,South,Georgia,Technology,Computers,Laptop,1099,4,0.2,3516.8,2901.36,615.44,Debit Card,Second Class,17.5
ORD-00114,2024-01-23,C0178,Isha Khan,Corporate,South,Florida,Technology,Phones,Wireless Headset,129,4,0.05,490.2,252.84,237.36,UPI,Same Day,48.42
ORD-00115,2025-06-22,C0029,Ananya Johnson,Consumer,East,Massachusetts,Office Supplies,Writing,Pen Pack,12,9,0.0,108.0,32.4,75.6,Credit Card,Second Class,70.0
ORD-00116,2025-12-11,C0037,Lucas Smith,Corporate,West,Oregon,Office Supplies,Writing,Desk Organizer,28,5,0.0,140.0,57.4,82.6,Credit Card,Same Day,59.0
ORD-00117,2025-02-19,C0086,Noah Sharma,Home Office,West,Oregon,Office Supplies,Storage,Filing Cabinet,189,4,0.0,756.0,461.16,294.84,Credit Card,Second Class,39.0
ORD-00118,2024-07-02,C0130,Isha Sharma,Corporate,East,Massachusetts,Office Supplies,Writing,Desk Organizer,28,12,0.0,336.0,137.76,198.24,Debit Card,Same Day,59.0
ORD-00119,2025-02-19,C0050,Mia Miller,Corporate,Central,Illinois,Technology,Computers,Laptop,1099,3,0.1,2967.3,2176.02,791.28,UPI,Same Day,26.67
ORD-00120,2024-12-06,C0010,Sara Sharma,Corporate,Central,Illinois,Technology,Phones,Smartphone,699,3,0.05,1992.15,1132.38,859.77,Credit Card,Standard Class,43.16
ORD-00121,2025-08-10,C0064,Aarav Miller,Home Office,South,Florida,Office Supplies,Writing,Desk Organizer,28,1,0.0,28.0,11.48,16.52,Credit Card,Same Day,59.0
ORD-00122,2024-08-01,C0141,Lucas Johnson,Consumer,West,California,Technology,Phones,Smartphone,699,4,0.1,2516.4,1509.84,1006.56,UPI,Same Day,40.0
ORD-00123,2024-06-14,C0081,Ananya Miller,Corporate,East,Pennsylvania,Technology,Computers,Monitor,249,2,0.0,498.0,288.84,209.16,Debit Card,Standard Class,42.0
ORD-00124,2025-08-20,C0147,Isha Johnson,Home Office,West,Oregon,Furniture,Chairs,Office Chair,199,5,0.1,895.5,567.15,328.35,Debit Card,First Class,36.67
ORD-00125,2024-05-15,C0134,Mia Brown,Corporate,South,Georgia,Office Supplies,Writing,Desk Organizer,28,4,0.15,95.2,45.92,49.28,Credit Card,First Class,51.76
ORD-00126,2024-01-03,C0138,Isha Brown,Home Office,Central,Texas,Office Supplies,Paper,Copy Paper,15,4,0.15,51.0,21.0,30.0,Credit Card,Second Class,58.82
ORD-00127,2024-12-10,C0083,Ananya Patel,Corporate,East,Massachusetts,Technology,Accessories,USB-C Hub,59,1,0.2,47.2,26.55,20.65,Debit Card,Same Day,43.75
ORD-00128,2024-07-31,C0017,Kavya Johnson,Consumer,South,Florida,Office Supplies,Paper,Notebook Set,22,6,0.15,112.2,52.8,59.4,Debit Card,First Class,52.94
ORD-00129,2024-06-05,C0095,Isha Wilson,Corporate,West,California,Technology,Accessories,Laptop Sleeve,35,5,0.05,166.25,66.5,99.75,Credit Card,Second Class,60.0
ORD-00130,2024-05-21,C0030,Sara Wilson,Corporate,West,Washington,Technology,Accessories,USB-C Hub,59,1,0.05,56.05,26.55,29.5,Debit Card,Same Day,52.63
ORD-00131,2025-03-01,C0019,Aarav Patel,Home Office,South,North Carolina,Furniture,Chairs,Ergonomic Chair,399,5,0.0,1995.0,1256.85,738.15,Bank Transfer,Same Day,37.0
ORD-00132,2025-11-27,C0169,Aarav Patel,Home Office,South,North Carolina,Technology,Accessories,USB-C Hub,59,3,0.05,168.15,79.65,88.5,Credit Card,First Class,52.63
ORD-00133,2025-01-15,C0054,Liam Davis,Consumer,West,Washington,Technology,Phones,Smartphone,699,3,0.2,1677.6,1132.38,545.22,UPI,Standard Class,32.5
ORD-00134,2024-12-23,C0097,Aarav Garcia,Home Office,Central,Texas,Office Supplies,Writing,Pen Pack,12,8,0.2,76.8,28.8,48.0,Bank Transfer,Second Class,62.5
ORD-00135,2024-06-12,C0088,Noah Miller,Corporate,West,Oregon,Office Supplies,Paper,Notebook Set,22,6,0.1,118.8,52.8,66.0,UPI,Same Day,55.56
ORD-00136,2025-01-21,C0175,Noah Garcia,Consumer,West,Washington,Furniture,Tables,Study Desk,279,1,0.2,223.2,167.4,55.8,Bank Transfer,Same Day,25.0
ORD-00137,2025-05-07,C0155,Mia Smith,Consumer,East,New York,Office Supplies,Writing,Pen Pack,12,5,0.0,60.0,18.0,42.0,UPI,Same Day,70.0
ORD-00138,2025-02-16,C0032,Aarav Khan,Home Office,South,Georgia,Technology,Accessories,Laptop Sleeve,35,2,0.05,66.5,26.6,39.9,UPI,Second Class,60.0
ORD-00139,2024-02-07,C0069,Noah Patel,Corporate,Central,Illinois,Furniture,Chairs,Ergonomic Chair,399,2,0.2,638.4,502.74,135.66,Bank Transfer,Same Day,21.25
ORD-00140,2025-04-11,C0036,Sara Garcia,Home Office,West,Washington,Technology,Phones,Smartphone,699,4,0.1,2516.4,1509.84,1006.56,UPI,Same Day,40.0
ORD-00141,2024-03-24,C0095,Isha Wilson,Corporate,East,Pennsylvania,Technology,Computers,Monitor,249,2,0.05,473.1,288.84,184.26,UPI,Same Day,38.95
ORD-00142,2025-02-04,C0171,Lucas Brown,Home Office,West,Washington,Furniture,Tables,Coffee Table,149,3,0.15,379.95,232.44,147.51,Debit Card,Standard Class,38.82
ORD-00143,2024-10-01,C0049,Kavya Davis,Home Office,Central,Illinois,Furniture,Tables,Coffee Table,149,5,0.0,745.0,387.4,357.6,Bank Transfer,First Class,48.0
ORD-00144,2024-09-09,C0058,Sara Miller,Consumer,South,Georgia,Office Supplies,Storage,Filing Cabinet,189,3,0.0,567.0,345.87,221.13,UPI,Standard Class,39.0
ORD-00145,2024-03-09,C0095,Isha Wilson,Corporate,West,Washington,Furniture,Tables,Study Desk,279,1,0.0,279.0,167.4,111.6,Bank Transfer,Same Day,40.0
ORD-00146,2025-06-06,C0049,Kavya Davis,Home Office,West,California,Technology,Phones,Wireless Headset,129,4,0.1,464.4,252.84,211.56,Bank Transfer,Same Day,45.56
ORD-00147,2024-09-11,C0163,Aarav Patel,Corporate,South,Florida,Office Supplies,Paper,Copy Paper,15,6,0.05,85.5,31.5,54.0,Bank Transfer,Same Day,63.16
ORD-00148,2024-07-03,C0109,Ananya Sharma,Consumer,East,Pennsylvania,Technology,Phones,Wireless Headset,129,5,0.15,548.25,316.05,232.2,Bank Transfer,Second Class,42.35
ORD-00149,2025-07-09,C0006,Liam Khan,Corporate,West,California,Furniture,Chairs,Ergonomic Chair,399,4,0.1,1436.4,1005.48,430.92,Credit Card,Second Class,30.0
ORD-00150,2025-07-15,C0081,Ananya Miller,Corporate,East,Pennsylvania,Office Supplies,Writing,Pen Pack,12,11,0.0,132.0,39.6,92.4,Bank Transfer,Same Day,70.0
ORD-00151,2024-12-22,C0117,Mia Brown,Corporate,South,North Carolina,Furniture,Chairs,Office Chair,199,3,0.1,537.3,340.29,197.01,UPI,Same Day,36.67
ORD-00152,2025-02-10,C0131,Kavya Sharma,Consumer,Central,Illinois,Technology,Accessories,Laptop Sleeve,35,2,0.0,70.0,26.6,43.4,Bank Transfer,First Class,62.0
ORD-00153,2025-07-30,C0096,Noah Khan,Corporate,Central,Texas,Technology,Phones,Smartphone,699,1,0.2,559.2,377.46,181.74,Bank Transfer,First Class,32.5
